area,citation_count
Computer vision,5674649
Robotics,1450926
Natural language processing,1023449
Human-computer interaction,943773
Machine learning,784039
Artificial intelligence,776621
Databases,729143
The Web & information retrieval,708120
High-performance computing,696569
Algorithms & complexity,581528
Computer architecture,455251
Mobile computing,365252
Design automation,342152
Computer security,283017
Programming languages,269913
Computer graphics,267338
Computer networks,251931
Cryptography,250170
Software engineering,231364
Operating systems,112651
Logic & verification,107975
Computer science education,95587
Embedded & real-time systems,87279
Economics & computation,71758
Comp. bio & bioinformatics,54410
Visualization,48896
Measurement & perf. analysis,2124
